"","DLDR_0107","DLDR_0085","DLDR_0120","DLDR_0176","DLDR_0117","DLDR_0132","DLDR_0127","DLDR_0135","DLDR_0153","DLDR_0133","DLDR_0121","DLDR_0062","DLDR_0039","DLDR_0139","DLDR_0162","DLDR_0159","DLDR_0164","DLDR_0168","DLDR_0129","DLDR_0158","DLDR_0136","DLDR_0122","DLDR_0079","DLDR_0174","DLDR_0137","DLDR_0116","DLDR_0038","DLDR_0142","DLDR_0043","DLDR_0102","DLDR_0092","DLDR_0140","DLDR_0150","DLDR_0088","DLDR_0151","DLDR_0101","DLDR_0143","DLDR_0095","DLDR_0156","DLDR_0094","DLDR_0046","DLDR_0109","DLDR_0106","DLDR_0110","DLDR_0123","DLDR_0171","DLDR_0105","DLDR_0061","DLDR_0084","DLDR_0175","DLDR_0126","DLDR_0146","DLDR_0145","DLDR_0154","DLDR_0166","DLDR_0089","DLDR_0078","DLDR_0124","DLDR_0042","DLDR_0114","DLDR_0096","DLDR_0115","DLDR_0076","DLDR_0097","DLDR_0155","DLDR_0100","DLDR_0161","DLDR_0074","DLDR_0170","DLDR_0080","DLDR_0040","DLDR_0141","DLDR_0131","DLDR_0108","DLDR_0177","DLDR_0152","DLDR_0181","DLDR_0169","DLDR_0130"
"7138",0.107505092,0.741431132,0.75934386,-1.213097925,0.239294978,-0.15824134,0.403642566,-2.841220864,-1.367207452,-1.527730352,-1.104811941,0.444004588,-0.178837915,0.094420252,-1.479916106,-0.372703234,0.5744346,-2.185409126,0.865321668,-0.917298184,-1.128753177,-0.593943559,1.284661358,-2.921717685,0.395175287,-1.755263662,0.353589998,-1.15655209,0.498843906,0.765069038,1.068231324,0.953158887,-0.848241543,0.861555479,-1.266897054,0.800589112,0.656345428,2.610818361,0.346951788,1.527209508,-1.058728493,0.026275935,0.252074229,0.183806104,-0.658553503,-1.910344538,0.95125297,-1.309576593,0.457028561,-3.870948758,-1.514180891,-0.56118216,-0.504730551,-0.708878755,-0.237911919,-0.631564524,-0.559678701,1.020814252,-2.162050489,1.783815332,0.208242426,1.555135214,3.055527398,2.575713758,-1.258145144,3.910288319,-1.498385206,-1.633282373,1.261575236,1.110777005,-0.768366484,-0.03852588,-0.359688156,1.715093094,-3.829721452,-2.146971535,1.08369367,-0.761551291,0.362588989
"7148",7.817473751,7.48910772,7.245018382,7.618087495,7.428909277,8.094424092,7.67748573,7.816693002,7.611026319,7.591729582,7.438219879,7.219869224,6.848889762,7.592747113,7.847942701,7.378333566,7.866602828,7.715759469,7.998492429,7.94716938,7.516304758,7.838514825,6.498074548,7.990922201,7.901081336,7.478622268,7.114697938,7.902688359,6.89648166,7.482608381,7.666850269,6.939569822,7.894466777,7.190830707,8.125113641,7.925903226,7.741077903,7.526170535,7.585356527,7.877660832,7.171355164,7.380772714,8.050467636,7.788607908,7.925156115,7.753721737,7.776838184,7.035763422,7.767732218,7.828189867,8.244799365,7.605270649,8.143281268,7.395108372,7.830282201,7.478701267,7.528844555,7.948090795,7.065737337,7.297486539,8.081867474,6.915426514,7.065511486,7.420799069,7.992784858,7.32346163,8.076733798,7.43842375,7.676344352,7.233173637,6.917800511,7.859160382,7.410022561,7.608328665,7.584435228,7.393420725,7.144215289,8.064845867,7.825246172
"7211",7.040477929,6.838112504,6.47041513,6.867412155,6.639265973,6.289795524,6.619844002,7.411050336,7.165473148,6.854533406,6.706994983,7.025958339,6.787690794,6.858817974,7.111521238,6.513270394,7.135489132,6.732857833,7.077804543,7.095453313,7.04873025,6.858585985,5.874709148,7.18637111,7.092308346,6.108922483,6.906472527,7.197951608,6.371333048,6.45994923,6.768268897,6.235598692,7.047533021,6.424765182,7.347286931,6.782558824,6.687564159,6.338302054,6.860606286,7.000625356,6.92965722,6.527585084,6.759868869,6.972504545,7.055946436,7.166089343,6.945091986,6.902454805,7.004848517,7.024626524,7.296390743,7.105246708,7.385884505,6.953611609,7.097672621,6.461779675,6.608241164,6.653529884,6.796709346,6.564925207,7.101633191,6.218346736,6.64896568,6.549295409,7.539516382,5.749648296,7.387988807,6.715043412,6.89116315,6.754924619,6.797506277,7.457960017,6.501160071,6.682716165,6.912587984,6.764011815,5.462652709,7.080649372,6.975066595
"7257",-0.458092084,-0.151653664,0.900206396,0.512727111,0.707073939,-1.536752963,-0.963139765,0.43179763,0.217755048,-0.305337931,-0.050364157,1.430829199,1.133752315,-0.049969657,-1.032457129,0.691427104,-0.273562306,0.247550281,0.417862691,-0.289266961,-0.074305393,-0.379818754,0.356214619,0.850871819,-2.412179635,1.613970148,0.970261358,-1.39756019,1.749387367,0.979193843,0.74106658,1.167283692,0.261382948,1.121199296,-0.373812258,0.270074395,-0.566046993,0.490188655,0.115626242,-1.569652031,0.80186845,1.28193081,0.342272038,1.20129353,-0.459244695,0.037188042,-0.005678308,0.792785124,-0.279937033,-0.411517139,-0.218725008,-1.091696877,0.042757244,0.139118152,0.66479088,0.842366664,0.577824822,0.207899804,0.863484603,1.478960751,0.764635774,0.714613428,0.8184882,0.791442449,0.449674105,1.635281271,0.285886103,0.635206463,-1.256273069,1.492647641,1.068134784,0.357402796,0.027334967,0.464549632,1.214672668,-0.477120137,1.910857073,0.337984383,0.447477887
"7277",6.791732465,7.09129357,7.695226659,6.840096975,7.798285524,6.740301913,6.75074413,6.895181067,6.780845369,6.91383059,7.091459156,7.865227887,8.223830356,6.841014548,6.627182058,7.035916001,6.965606572,7.082781953,6.724959981,6.901138743,6.566519737,6.784914824,6.794872349,7.304293035,6.695473366,7.829907547,7.795611938,7.084422663,7.739224038,6.863522284,6.576715094,5.619915479,6.524508986,6.763357198,6.487035969,6.941975787,7.021418015,6.950763607,6.809416191,6.955216122,8.142363636,7.630583314,6.953855781,7.627356156,6.95860782,6.833528144,7.017342161,7.868429108,6.890655728,6.95798107,6.803231722,6.859263964,7.070372287,6.516730379,6.890026346,6.744440243,7.414162138,6.740334711,7.886047098,7.699609367,7.293832042,7.676096774,7.245551568,7.241737273,7.191141091,7.061546026,7.267223206,6.978413133,6.913196465,7.067087155,7.909940216,6.932109843,6.481936668,6.991891813,7.116453789,7.052477741,7.020521549,7.101454976,6.55480707
"7297",9.184104052,8.863163876,8.331728295,9.399983155,8.970758452,8.659726219,9.124392865,9.245689369,9.328310857,9.280751235,8.768750478,9.118293172,9.11822626,9.02304437,9.192750307,8.063314204,8.819300523,8.941682422,9.058326749,8.991367364,9.422166229,8.91377181,7.742146583,9.040334816,9.190055267,8.423124546,9.040790692,9.469507902,8.329331793,8.560264528,8.494131347,8.176967545,9.54390638,8.076353435,9.524382139,9.092969742,9.091092784,8.455033205,8.841918456,8.775999619,8.990618536,8.36658023,9.004697665,9.120515852,8.960579598,8.814534693,8.761142871,8.956865489,8.913998942,8.949030703,9.29368626,8.828655978,9.023197508,9.113320268,8.761475394,8.410094627,8.942158484,8.636542908,8.665745857,8.542895056,9.086744195,7.846530194,8.220992751,8.224216312,9.50976341,7.862560265,9.311025665,9.10826122,8.903483618,8.431155922,8.934136055,9.576668139,8.350058447,8.728587719,8.911113374,8.950641656,6.834265599,9.052611515,8.973166474
"7328",6.479723085,6.659988617,6.517652505,6.634802644,6.526663525,6.356851942,6.821322891,6.811624109,6.675363931,6.667682869,6.69509231,6.325758183,6.448637133,6.456155197,6.72287558,6.591681395,6.47436211,6.645581355,6.585964957,6.927621519,6.489538195,6.552141379,6.084135074,6.489793303,6.853826016,6.227729913,6.381864452,7.19455703,6.461839603,5.900932203,6.67781158,6.035520856,7.199312917,6.439303429,7.096299059,6.127133835,6.924202218,6.492807453,6.840584891,6.831701586,6.407160073,6.665708938,6.649369328,6.635620307,6.763667037,6.842155582,6.485231542,6.182747895,6.385872598,6.757496782,7.016846055,6.722084314,6.861591663,6.597942448,6.66216732,6.656917088,6.275740139,6.051693565,6.652188628,6.267400812,6.678243286,5.900295615,6.30422169,6.823641271,6.961346091,5.722744112,6.594371935,6.573953849,6.865966671,6.427961189,6.801850657,7.148695945,6.205487173,6.584564005,6.756179998,6.975974082,5.905930392,6.582110326,6.291892236
"7339",7.282025959,6.580796449,6.118699234,7.641770458,6.931149843,7.949076345,7.77388515,6.399570468,7.238889261,7.02660268,7.67679997,6.4196181,7.311204213,8.075783663,7.641146404,7.70589237,7.615667846,7.237916921,7.847935036,7.6618463,7.203885911,7.437936806,7.070460137,7.353242788,7.287681965,7.561897677,7.198522377,7.452768736,7.241240464,6.302365105,7.073123478,6.262043944,6.774580947,7.042445185,7.483690311,6.896189002,7.440325842,6.233222597,7.098371867,7.135788368,6.664528266,6.569228818,7.243687503,7.004607722,7.852906337,7.364782268,6.984342208,7.33576396,7.287385308,7.483851586,7.50793468,7.556560826,7.568381077,8.005137745,7.230402224,6.433327905,7.026785825,7.016994381,6.879608662,5.990666903,7.053732477,7.28799641,6.719642426,6.386389038,7.199919639,6.423966982,7.760311679,7.290180177,7.865260449,6.678944264,7.073834179,7.126645592,7.793571546,7.599152981,7.549115261,7.706054416,6.880204345,7.479807696,7.117881231
"7365",5.416704882,5.471443966,5.426682888,6.342081106,5.263078818,5.829569251,5.929123425,6.092469791,6.072969609,5.852514238,5.575209406,5.752095355,5.310945317,5.734148556,5.755010162,5.850274578,5.975124321,6.026965661,6.139169059,5.438653493,6.483501016,5.636413186,5.686264059,5.646871846,6.064904002,5.359057086,5.904080281,5.949557814,5.952611225,6.011477125,5.780683559,5.356426609,6.290232367,6.033172792,6.402494228,5.040707702,5.742595411,5.497509342,5.985454743,5.643046994,5.490194788,6.03316013,5.862979997,5.362501315,6.095839163,5.936041319,4.975637129,5.987204688,6.050382332,5.963522292,5.834547263,5.770423848,6.18607332,5.698247353,5.815010472,5.345715399,5.638029457,4.951187686,5.954664774,5.486367342,5.156953197,5.961657749,5.116168749,5.105333225,5.896335453,5.479265115,5.578430391,5.636056858,6.336183969,5.608769926,5.571483519,6.444016744,5.880919732,5.590987096,5.819534726,6.739279295,5.296915505,6.193198943,6.090509444
"7377",8.241098608,7.555705468,7.544398057,8.035741936,7.220224524,7.535245618,7.724650281,7.575576663,7.864013728,7.651349364,7.544306027,7.245492503,7.102680869,7.848353275,7.605375273,8.260291963,8.027476544,7.709105518,7.825452349,7.888005998,7.723236054,7.835170219,7.521283692,7.783626711,7.719248654,7.592234678,7.510768482,8.189279598,7.56752954,7.400242984,7.494252934,6.757419002,8.010230304,7.127814141,8.147033042,7.653778687,7.946232576,7.442489711,7.83136446,7.715493274,7.6754463,7.153243736,8.033222388,7.60083528,8.166228491,8.027764788,7.70897127,7.207745423,7.725687516,7.776959316,7.581216131,7.980659072,8.112524976,7.620543876,7.720577754,6.713224528,7.582938954,7.671092765,7.623285204,7.175150996,7.705272381,7.088035035,7.323259906,7.391355291,7.828433422,6.780958726,7.886997894,7.734827199,8.326809699,7.485113968,7.840900216,8.05700995,7.409005146,7.883565376,7.710890957,8.206476071,6.788601323,8.219948037,7.54550997
"7420",11.25771551,9.882752301,10.11492085,11.1814266,9.949625148,9.577900365,10.28644155,10.75143082,10.52444969,10.37331251,10.44737682,10.37067796,9.819206505,10.83472305,10.5084781,10.51144415,10.90940305,10.75251636,10.38683487,10.56491391,10.40431444,10.19477477,10.35143469,10.85919795,10.8060304,9.458448136,10.25153627,10.99048156,10.42401463,10.19978066,10.31907896,9.833721978,11.08802831,9.906372863,11.28381538,10.20207037,10.64377187,9.365634426,10.50219168,9.876110072,10.31793957,10.00726065,11.09211608,10.46827758,10.5920739,11.1116021,10.72349255,10.19970357,10.93951387,11.10771702,11.31433429,10.72932412,11.52998906,10.87115992,10.94860608,10.17552201,11.21617845,9.566224305,10.47829129,9.630798084,10.7280521,9.788505882,9.733513913,10.43630016,10.83176873,8.691431232,11.11655464,10.64877933,10.46089703,10.3900241,10.61803494,11.23296786,10.5682607,10.50701095,10.75670789,10.39287021,8.563864961,10.98757988,10.37977702
"7439",5.635299069,6.703363091,6.1941859,5.240014388,5.898417924,6.214121476,4.885647876,5.832382669,5.222755729,4.739056189,4.477836694,5.636342241,5.113706373,5.262435664,4.803803669,5.365081841,5.008877499,5.638594925,5.613067101,5.05163037,4.527625847,5.414148862,5.083256721,4.719732008,5.1602048,7.048149957,5.005120115,5.226487519,5.026725311,6.153258575,7.006489837,4.71444416,5.275607588,7.004992591,5.272261757,6.560263945,5.426419334,6.985392961,5.15239712,7.127315495,5.406730508,7.168747724,6.229354152,6.137434759,4.916355333,4.124650884,6.45278862,5.09781615,5.721564992,4.812045826,4.958602242,4.854722083,5.87030888,5.79256039,5.554807657,5.562645129,5.722019549,5.921030841,5.119382827,6.98955041,6.400390165,5.713564577,6.923024555,7.617284598,5.42086571,7.828264441,5.18187663,5.937263355,5.440378389,6.995887888,5.283295636,4.798354994,4.992440177,7.139411548,6.131728243,4.85200346,7.133015271,4.9895145,5.55540483
"7510",4.296795418,3.282577401,3.763960488,4.669545124,4.286476915,4.306225869,4.66391407,4.582245257,5.19248829,4.828648253,4.491664548,4.333301123,4.404184175,4.335098027,4.558504112,3.745293976,4.818983435,3.972443043,4.495002089,4.586166203,3.865455186,4.156662946,4.299863765,4.821994742,5.066252946,4.227096179,4.55348042,4.9095371,4.183894731,3.588818398,4.117053802,3.960354388,5.295074533,3.775203441,5.403506291,4.01104192,4.988541859,3.268495045,4.832855618,4.417769902,4.508727289,3.749187993,4.791733368,4.220716794,4.356396839,4.834969638,4.286237218,3.890672945,4.591249501,4.211200283,4.732019877,4.428376093,5.030843923,4.658026249,3.921520709,3.296542557,4.298302294,3.667331423,3.879217529,3.924438198,4.192241947,3.831380494,4.077222469,3.996556879,4.691389789,3.141172201,4.572481125,4.626674829,4.395430983,4.10895427,4.418632031,4.611392063,3.701423358,3.79144398,4.384597669,4.265502084,1.910857073,4.757523274,3.951190067
"7540",4.707015901,6.852098471,5.505987368,3.890593378,5.340236849,5.978946875,4.756158981,5.627742517,4.266998567,4.578003591,4.352095276,4.921210908,4.415787683,4.019515443,4.352973908,5.39106242,4.318595696,4.650009714,4.801828744,4.306264781,4.152849975,4.518756573,4.680467767,4.310303438,3.867044009,6.181374277,4.331378718,5.242356002,4.144688648,4.640849101,6.322198673,4.617641727,4.738301994,6.470447997,4.484168737,5.533387072,4.947022589,5.706878124,4.893560481,5.992590393,4.398976381,6.101127345,5.238925525,5.449221044,4.436745833,3.253844094,5.545294765,4.743790336,5.278738776,4.419070089,4.425131182,4.356763624,5.218996019,5.875081526,5.202866993,5.138089689,5.23213537,5.191971799,4.590927423,6.348599951,5.077881626,5.031500068,6.199309984,6.885960048,4.455184086,5.965839671,4.857210602,5.225828818,5.153117868,6.249191034,4.717367006,4.491623736,4.345013589,6.561491929,5.556140949,4.687068495,6.49691211,4.406464121,4.783761274
"7577",7.953503642,7.71547796,7.491793973,7.929794593,7.632890819,7.73797461,7.680526584,7.873883145,7.929708754,7.74668663,7.514138217,7.426064749,7.762730375,7.946169294,7.796419822,7.773498989,7.990786457,7.507729312,7.841328812,7.906069056,7.508336095,7.543355022,7.533553778,7.914069573,7.837723903,7.670301943,7.59157004,8.10644619,7.661495672,7.688693649,7.562637658,7.102906006,7.971433363,7.640881796,8.159667233,7.89049789,7.888732091,7.661278154,8.088169065,7.901797391,7.611275438,7.778571238,7.930645973,7.771149139,7.671201317,7.897700284,7.917037255,7.575042874,7.704576368,7.799264879,7.884562801,7.940808088,8.092032613,7.874329404,7.670284875,7.526624369,7.696765895,7.927889796,7.567570254,7.359876711,7.681590053,7.364830275,7.453385663,7.582967142,7.963441978,7.462083955,7.93740079,7.904994757,7.666108609,7.575003008,7.674379586,8.000970418,7.618032084,7.69502564,7.900324051,7.957150649,6.90510764,8.002056302,7.6743717
"7593",1.692467593,2.142529441,3.208651262,2.343850199,3.0466499,2.331143501,1.609111684,1.763641194,1.905811042,2.710037295,1.670481772,2.876963995,2.615158624,2.596920593,2.33677668,3.021694499,2.550187054,2.52608578,2.167884438,2.193125806,2.17455924,2.163079687,2.819870824,2.032478626,2.306638613,2.68214165,3.133199929,2.108792476,3.612406464,2.750569468,2.639186966,2.684342128,1.980646541,2.377144277,1.480336876,2.457701398,1.676809531,3.188045213,2.035007782,2.08060193,3.274544575,2.5663842,1.773611349,2.326099986,2.885767013,2.337582976,2.648325837,3.243205502,2.288905802,2.758407862,2.264792229,2.30823373,1.522750185,1.45031984,2.457694646,2.939977461,2.544657959,2.364768653,3.782138648,3.130265746,2.270526704,3.422774994,2.615995336,2.979069452,1.932996344,2.2768273,1.989901276,2.901639445,2.685174749,2.752883413,3.024191437,2.427792124,2.569228746,1.910349385,2.192646361,2.387950283,2.897681684,2.423560114,2.517867214
